Feature,Importance
Average_Transaction_Amount,0.11359338110970275
Last_Purchase_Days_Ago,0.11329570274303521
Customer_ID,0.11239286947683115
Total_Spend,0.10493071918073135
Annual_Income,0.09482325094594807
Age,0.0941067411678001
Num_of_Purchases,0.08884677236828468
Years_as_Customer,0.06534512061313799
Num_of_Returns,0.061209587478412826
Satisfaction_Score,0.040957760732029246
Num_of_Support_Contacts,0.040802579928209876
Gender,0.028515517134172545
Promotion_Response,0.026290793314802004
Email_Opt_In,0.014889203806902073
